"Id","R","Nome","Squadra","Pv","Mv","Fm","Gf","Gs","Rp","Rc","R+","R-","Ass","Amm","Esp","Au"
"1930","P","Pinsoglio","Juventus","1","6.5","5.5","0","1","0","0","0","0","0","0","0","0"
"2861","P","Semper","Genoa","1","6.5","5.5","0","1","0","0","0","0","0","0","0","0"
"5528","P","Zovko","Spezia","1","6","6","0","0","0","0","0","0","0","0","0","0"
"3","P","Radunovic","Cagliari","3","6.33","5.67","0","5","1","0","0","0","0","0","0","0"
"218","P","Perin","Juventus","5","6.1","4.7","0","7","0","0","0","0","0","0","0","0"
"5005","P","Zoet","Spezia","7","5.79","3.5","0","19","1","0","0","0","0","0","0","0"
"41","P","Mirante","Milan","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","P","Sarr M.","Bologna","0","0","0","0","0","0","0","0","0","0","0","0","0"
"158","P","Lezzerini","Venezia","6","6.17","4.5","0","9","0","0","0","0","0","2","0","0"
"160","P","Tatarusanu","Milan","6","6","4.83","0","10","1","0","0","0","0","0","0","0"
"220","P","Ujkani","Empoli","0","0","0","0","0","0","0","0","0","0","0","0","0"
"318","P","Marchetti","Genoa","0","0","0","0","0","0","0","0","0","0","0","0","0"
"481","P","Brignoli","Empoli","0","0","0","0","0","0","0","0","0","0","0","0","0"
"510","P","Pegolo","Sassuolo","1","6","3","0","3","0","0","0","0","0","0","0","0"
"574","P","Scuffet","Udinese","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1843","P","Radu I.","Inter","1","4","2","0","2","0","0","0","0","0","0","0","0"
"1889","P","Cordaz","Inter","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1946","P","Aresti","Cagliari","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1947","P","Fiorillo","Salernitana","1","6","1","0","5","0","0","0","0","0","0","0","0"
